0.005729	0.005729
0.142708	0.142708
0.241667	0.241667
0.340625	0.340625
0.461458	0.461458
0.573958	0.573958
0.660417	0.660417
0.768750	0.768750
0.902604	0.902604
1.042708	1.042708
1.148958	1.148958
1.261458	1.261458
1.365625	1.365625
1.477083	1.477083
1.560417	1.560417
1.659375	1.659375
1.793750	1.793750
1.888542	1.888542
2.009375	2.009375
2.125000	2.125000
2.228646	2.228646
2.351042	2.351042
2.448958	2.448958
2.558333	2.558333
2.708333	2.708333
2.844792	2.844792
2.967708	2.967708
3.080208	3.080208
3.204167	3.204167
3.294792	3.294792
3.386458	3.386458
3.512500	3.512500
3.659375	3.659375
3.757292	3.757292
3.883333	3.883333
4.009375	4.009375
4.119792	4.119792
4.216667	4.216667
4.329167	4.329167
4.436979	4.436979
4.581771	4.581771
4.681250	4.681250
4.813542	4.813542
4.921875	4.921875
5.028125	5.028125
5.118750	5.118750
5.210417	5.210417
5.332292	5.332292
5.487500	5.487500
5.744792	5.744792
5.975000	5.975000
6.209375	6.209375
6.481771	6.481771
7.033333	7.033333
