0.716146	0.716146
1.171875	1.171875
1.613021	1.613021
2.076042	2.076042
2.504167	2.504167
2.939063	2.939063
3.418750	3.418750
3.914583	3.914583
4.369792	4.369792
4.830208	4.830208
5.292188	5.292188
5.738542	5.738542
6.197917	6.197917
6.685417	6.685417
7.192187	7.192187
7.743750	7.743750
8.254167	8.254167
8.708334	8.708334
9.176042	9.176042
9.615625	9.615625
10.059375	10.059375
10.507812	10.507812
10.972396	10.972396
11.432812	11.432812
11.884028	11.884028
12.344791	12.344791
12.823611	12.823611
13.293750	13.293750
13.774653	13.774653
14.235416	14.235416
14.790973	14.790973
15.513542	15.513542
16.236980	16.236980
16.687500	16.687500
17.133854	17.133854
17.602604	17.602604
18.025520	18.025520
18.467709	18.467709
18.956945	18.956945
19.408333	19.408333
19.870834	19.870834
20.318750	20.318750
20.796354	20.796354
21.228125	21.228125
21.692709	21.692709
22.178646	22.178646
22.714584	22.714584
23.326042	23.326042
